ts,power_low_w,power_high_w,gpu_w
2026-03-01 22:00:00,23.00,38.30,16.6
2026-03-01 23:00:00,12.20,25.10,4.6
2026-03-02 00:00:00,78.20,106.00,77.9
2026-03-02 01:00:00,11.00,23.80,3.3
2026-03-02 02:00:00,10.90,23.50,3.2
2026-03-02 03:00:00,11.00,23.80,3.3
2026-03-02 04:00:00,10.60,23.30,2.9
2026-03-02 05:00:00,10.70,23.30,3.0
2026-03-02 06:00:00,10.90,23.50,3.2
2026-03-02 07:00:00,10.70,23.30,3.0
2026-03-02 08:00:00,10.70,23.30,3.0
2026-03-02 09:00:00,12.40,25.90,4.5
2026-03-02 10:00:00,17.00,31.40,9.6
2026-03-02 11:00:00,92.90,124.50,93.8
2026-03-02 12:00:00,18.20,33.10,10.9
2026-03-02 13:00:00,17.60,32.10,10.4
2026-03-02 14:00:00,78.60,107.00,77.8
2026-03-02 15:00:00,87.40,117.70,87.7
2026-03-02 16:00:00,28.90,45.80,23.0
2026-03-02 17:00:00,16.60,30.60,9.5
2026-03-02 18:00:00,22.80,38.20,16.3
2026-03-02 19:00:00,17.90,32.20,11.0
2026-03-02 20:00:00,24.00,39.70,17.7
2026-03-02 20:00:00,18.80,33.40,11.8
2026-03-02 21:00:00,18.30,32.70,11.4
2026-03-02 22:00:00,19.70,35.00,12.5
